id,name,primary_classification,secondary_classification,tertiary_classification,common_name,material,characteristics,payment_category,payment_standard,description
gz_nhsa_consumables_C01010100101001,C01010100101001,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,支架,镍钛合金,全覆膜,乙类,8085.00,
gz_nhsa_consumables_C01010100101004,C01010100101004,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,支架,镍钛合金,半覆膜,乙类,7350.00,
gz_nhsa_consumables_C01010100101007,C01010100101007,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,支架,镍钛合金,非覆膜,乙类,2552.00,
gz_nhsa_consumables_C01010100102001,C01010100102001,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,支架,不锈钢,全覆膜,乙类,6897.00,
gz_nhsa_consumables_C01010100103001,C01010100103001,非血管介入治疗类材料,呼吸介入材料,气管支气管支架,支架,硅酮,全覆膜,乙类,16800.00,
gz_nhsa_consumables_C01010200201001,C01010200201001,非血管介入治疗类材料,呼吸介入材料,气道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,止血球囊/单级球囊/普通,乙类,3880.00,
gz_nhsa_consumables_C01010200201005,C01010200201005,非血管介入治疗类材料,呼吸介入材料,气道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张球囊/单级球囊/普通,乙类,2749.30,
gz_nhsa_consumables_C01010200201006,C01010200201006,非血管介入治疗类材料,呼吸介入材料,气道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张球囊/单级球囊/可过导丝,乙类,1464.94,
gz_nhsa_consumables_C01010200201007,C01010200201007,非血管介入治疗类材料,呼吸介入材料,气道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张球囊/多级球囊/普通,乙类,3533.10,
gz_nhsa_consumables_C01010200201008,C01010200201008,非血管介入治疗类材料,呼吸介入材料,气道球囊,球囊,嵌段聚醚酰胺树脂（Pebax）,扩张球囊/多级球囊/可过导丝,乙类,3648.42,
gz_nhsa_consumables_C01010300301001,C01010300301001,非血管介入治疗类材料,呼吸介入材料,气道导丝,导丝,镍钛合金,末端有亲水涂层,乙类,981.72,
gz_nhsa_consumables_C01010300301002,C01010300301002,非血管介入治疗类材料,呼吸介入材料,气道导丝,导丝,镍钛合金,末端无亲水涂层,乙类,120.84,
gz_nhsa_consumables_C01010400400001,C01010400400001,非血管介入治疗类材料,呼吸介入材料,气道射频导管,导管,不区分,单电极,乙类,264.76,
gz_nhsa_consumables_C01010400400003,C01010400400003,非血管介入治疗类材料,呼吸介入材料,气道射频导管,导管,不区分,多电极,乙类,55.00,
gz_nhsa_consumables_C01010600600000,C01010600600000,非血管介入治疗类材料,呼吸介入材料,呼吸类细胞刷,细胞刷,不区分,常规,乙类,55.72,
gz_nhsa_consumables_C01010700700001,C01010700700001,非血管介入治疗类材料,呼吸介入材料,呼吸活检钳,活检材料,不区分,带针/带齿/带外,乙类,80.29,
