"id","name","parent_id/id"
"product_category_01","通用设备","product.product_category_all"
"product_category_0101","计算机设备","product_category_01"
"product_category_0102","通信设备","product_category_01"
"product_category_0103","办公设备","product_category_01"
"product_category_0104","车辆","product_category_01"
"product_category_0105","图书档案设备","product_category_01"
"product_category_0106","机械设备","product_category_01"
"product_category_0107","电气设备","product_category_01"
"product_category_0108","雷达、无线电和卫星导航设备","product_category_01"
"product_category_0109","广播、电视、电影设备","product_category_01"
"product_category_0110","仪器仪表","product_category_01"
"product_category_0111","电子和通信测量设备","product_category_01"
"product_category_0112","计量标准器具及量具、衡器","product_category_01"
"product_category_02","专用设备","product.product_category_all"
"product_category_0201","医用电子仪器","product_category_02"
"product_category_0202","医用超声仪器","product_category_02"
"product_category_0203","医用高频仪器设备","product_category_02"
"product_category_0204","物理治疗及体疗设备","product_category_02"
"product_category_0205","高压氧舱","product_category_02"
"product_category_0206","中医仪器设备","product_category_02"
"product_category_0207","医用磁共振设备","product_category_02"
"product_category_0208","医用X线设备","product_category_02"
"product_category_0209","高能射线设备","product_category_02"
"product_category_0210","医用核素设备","product_category_02"
"product_category_0211","临床检验分析仪器","product_category_02"
"product_category_0212","体外循环设备","product_category_02"
"product_category_0213","手术急救设备","product_category_02"
"product_category_0214","口腔设备","product_category_02"
"product_category_0215","病房护理设备","product_category_02"
"product_category_0216","消毒设备","product_category_02"
"product_category_0217","其他","product_category_02"
"product_category_0218","光学仪器及窥镜","product_category_02"
"product_category_0219","激光仪器设备","product_category_02"
"product_category_03","家具、用具及装具","product.product_category_all"
"product_category_0301","家具","product_category_03"
"product_category_0302","用具、装具","product_category_03"
