"id","name","code","account_type","chart_template_id","tag_ids/id","reconcile"
"account_template_administrative_institution_1001","库存现金","1001","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1002","银行存款","1002","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_100207","银行搁置科目","100207","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_100208","未对账收款","100208","asset_current","中国 - 行政事业单位","","True"
"account_template_administrative_institution_100209","未对账付款","100209","asset_current","中国 - 行政事业单位","","True"
"account_template_administrative_institution_1011","零余额账户用款额度","1011","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1021","其他货币资金","1021","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1101","短期投资","1101","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1201","财政应返还额度","1201","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1211","应收票据","1211","asset_receivable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_1212","应收账款","1212","asset_receivable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_1214","预付账款","1214","asset_prepayments","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1215","应收股利","1215","asset_receivable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_1216","应收利息","1216","asset_receivable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_1218","其他应收款","1218","asset_receivable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_121901","应收账款坏账准备","121901","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_121902","其他应收款坏账准备","121902","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1301","在途物品","1301","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1302","库存物品","1302","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1303","加工物品","1303","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1401","待摊费用","1401","asset_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1501","长期股权投资","1501","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1502","长期债券投资","1502","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1601","固定资产","1601","asset_fixed","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1602","固定资产累计折旧","1602","asset_fixed","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1611","工程物资","1611","asset_fixed","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1613","在建工程","1613","asset_fixed","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1701","无形资产","1701","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1702","无形资产累计摊销","1702","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1703","研发支出","1703","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1801","公共基础设施","1801","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1802","公共基础设施累计折旧（摊销）","1802","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1811","政府储备物资","1811","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1821","文物文化资产","1821","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1831","保障性住房","1831","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1832","保障性住房累计折旧","1832","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1891","受托代理资产","1891","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1901","长期待摊费用","1901","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_1902","待处理财产损溢","1902","asset_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2001","短期借款","2001","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2101","应交增值税","2101","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2102","其他应交税费","2102","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2103","应缴财政款","2103","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2201","应付职工薪酬","2201","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2301","应付票据","2301","liability_payable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_2302","应付账款","2302","liability_payable","中国 - 行政事业单位","","True"
"account_template_administrative_institution_2303","应付政府补贴款","2303","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2304","应付利息","2304","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2305","预收账款","2305","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2307","其他应付款","2307","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2401","预提费用","2401","liability_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2501","长期借款","2501","liability_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2502","长期应付款","2502","liability_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2601","预计负债","2601","liability_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_2901","受托代理负债","2901","liability_non_current","中国 - 行政事业单位","","False"
"account_template_administrative_institution_3001","累计盈余","3001","equity","中国 - 行政事业单位","","False"
"account_template_administrative_institution_3101","专用基金","3101","equity","中国 - 行政事业单位","","False"
"account_template_administrative_institution_3201","权益法调整","3201","equity","中国 - 行政事业单位","","False"
"account_template_administrative_institution_3301","本期盈余","3301","equity","中国 - 行政事业单位","","False"
