"id","code_prefix_start","name","chart_template_id"
"account_group_template_1","1","资产","中国 - 行政事业单位"
"account_group_template_10","10","货币资金","中国 - 行政事业单位"
"account_group_template_12","12","应收款","中国 - 行政事业单位"
"account_group_template_1219","1219","坏账准备","中国 - 行政事业单位"
"account_group_template_13","13","存货","中国 - 行政事业单位"
"account_group_template_2","2","负债","中国 - 行政事业单位"
"account_group_template_23","23","应付款","中国 - 行政事业单位"
"account_group_template_3","3","净资产","中国 - 行政事业单位"
"account_group_template_4","4","收入","中国 - 行政事业单位"
"account_group_template_5","5","费用","中国 - 行政事业单位"
"account_group_template_5901","5901","其他费用","中国 - 行政事业单位"
"account_group_template_6","6","预算收入","中国 - 行政事业单位"
"account_group_template_7","7","预算支出","中国 - 行政事业单位"
"account_group_template_8","8","预算结余","中国 - 行政事业单位"
