"id","name","code","account_type","tag_ids","reconcile","name@zh_CN"
"account_template_hospital_121201","应收在院病人医疗款","121201","asset_receivable","","True","应收在院病人医疗款"
"account_template_hospital_12120201","应收医保款","12120201","asset_receivable","","True","应收医保款"
"account_template_hospital_12120202","门急诊病人欠费","12120202","asset_receivable","","True","门急诊病人欠费"
"account_template_hospital_12120203","出院病人欠费","12120203","asset_receivable","","True","出院病人欠费"
"account_template_hospital_121203","其他应收账款","121203","asset_receivable","","True","其他应收账款"
"account_template_hospital_130201","药品","130201","asset_current","l10n_cn_institution.account_tag_operating","False","药品"
"account_template_hospital_13020201","血库材料","13020201","asset_current","l10n_cn_institution.account_tag_operating","False","血库材料"
"account_template_hospital_13020202","医用气体","13020202","asset_current","l10n_cn_institution.account_tag_operating","False","医用气体"
"account_template_hospital_13020203","影像材料","13020203","asset_current","l10n_cn_institution.account_tag_operating","False","影像材料"
"account_template_hospital_13020204","化验材料","13020204","asset_current","l10n_cn_institution.account_tag_operating","False","化验材料"
"account_template_hospital_13020205","其他卫生材料","13020205","asset_current","l10n_cn_institution.account_tag_operating","False","其他卫生材料"
"account_template_hospital_130203","低值易耗品","130203","asset_current","","False","低值易耗品"
"account_template_hospital_130204","其他材料","130204","asset_current","","False","其他材料"
"account_template_hospital_130205","成本差异","130205","asset_current","","False","成本差异"
"account_template_hospital_21010101","进项税额","21010101","liability_current","","False","进项税额"
"account_template_hospital_21010102","已交税金","21010102","liability_current","","False","已交税金"
"account_template_hospital_21010103","转出未交增值税","21010103","liability_current","","False","转出未交增值税"
"account_template_hospital_21010104","减免税款","21010104","liability_current","","False","减免税款"
"account_template_hospital_21010105","销项税额","21010105","liability_current","","False","销项税额"
"account_template_hospital_21010106","进项税额转出","21010106","liability_current","","False","进项税额转出"
"account_template_hospital_21010107","转出多交增值税","21010107","liability_current","","False","转出多交增值税"
"account_template_hospital_210102","未交税金","210102","liability_current","","False","未交税金"
"account_template_hospital_210103","预交税金","210103","liability_current","","False","预交税金"
"account_template_hospital_210104","待抵扣进项税额","210104","liability_current","","False","待抵扣进项税额"
"account_template_hospital_210105","待认证进项税额","210105","liability_current","","False","待认证进项税额"
"account_template_hospital_210106","待转销项税额","210106","liability_current","","False","待转销项税额"
"account_template_hospital_210107","简易计税","210107","liability_current","","False","简易计税"
"account_template_hospital_210108","转让金融商品应交增值税","210108","liability_current","","False","转让金融商品应交增值税"
"account_template_hospital_210109","代扣代交增值税","210109","liability_current","","False","代扣代交增值税"
"account_template_hospital_23050101","预收医保款","23050101","liability_current","","False","预收医保款"
"account_template_hospital_23050102","门急诊预收款","23050102","liability_current","","False","门急诊预收款"
"account_template_hospital_23050103","住院预收款","23050103","liability_current","","False","住院预收款"
"account_template_hospital_230502","其他预收账款","230502","liability_current","","False","其他预收账款"
"account_template_hospital_300101","财政项目盈余","300101","equity","","False","财政项目盈余"
"account_template_hospital_300102","医疗盈余","300102","equity","","False","医疗盈余"
