"id","code_prefix_start","name"
"account_group_template_1","1","资产"
"account_group_template_10","10","货币资金"
"account_group_template_1002","1002","银行存款"
"account_group_template_12","12","应收款"
"account_group_template_1219","1219","坏账准备"
"account_group_template_13","13","存货"
"account_group_template_2","2","负债"
"account_group_template_23","23","应付款"
"account_group_template_3","3","净资产"
"account_group_template_4","4","收入"
"account_group_template_5","5","费用"
"account_group_template_5901","5901","其他费用"
"account_group_template_6","6","预算收入"
"account_group_template_7","7","预算支出"
"account_group_template_8","8","预算结余"
