id,name,code,parent_id/id
nhsa_consumables_category_C01,非血管介入治疗类材料,01,
nhsa_consumables_category_C02,血管介入治疗类材料,02,
nhsa_consumables_category_C03,骨科材料,03,
nhsa_consumables_category_C04,神经外科材料,04,
nhsa_consumables_category_C05,心脏外科类材料,05,
nhsa_consumables_category_C06,人工器官、组织及配套材料,06,
nhsa_consumables_category_C07,口腔材料,07,
nhsa_consumables_category_C08,眼科材料,08,
nhsa_consumables_category_C09,体外循环材料,09,
nhsa_consumables_category_C10,血液净化材料,10,
nhsa_consumables_category_C11,吻合器及附件,11,
nhsa_consumables_category_C12,修补材料,12,
nhsa_consumables_category_C13,中医类材料,13,
nhsa_consumables_category_C14,基础卫生材料,14,
nhsa_consumables_category_C15,止血防粘连材料,15,
nhsa_consumables_category_C16,注射穿刺类材料,16,
nhsa_consumables_category_C17,功能性敷料,17,
nhsa_consumables_category_C0101,呼吸介入材料,01,nhsa_consumables_category_C01
nhsa_consumables_category_C0102,消化介入材料,02,nhsa_consumables_category_C01
nhsa_consumables_category_C0103,泌尿介入材料,03,nhsa_consumables_category_C01
nhsa_consumables_category_C0104,乳腺介入材料,04,nhsa_consumables_category_C01
nhsa_consumables_category_C0105,肿瘤介入材料,05,nhsa_consumables_category_C01
nhsa_consumables_category_C0106,非血管介入通用材料,06,nhsa_consumables_category_C01
nhsa_consumables_category_C0107,其他非血管介入材料,07,nhsa_consumables_category_C01
nhsa_consumables_category_C0201,电生理类材料,01,nhsa_consumables_category_C02
nhsa_consumables_category_C0202,冠脉介入治疗材料,02,nhsa_consumables_category_C02
nhsa_consumables_category_C0203,结构心脏病用材料,03,nhsa_consumables_category_C02
nhsa_consumables_category_C0204,起搏器类材料,04,nhsa_consumables_category_C02
nhsa_consumables_category_C0205,神经介入治疗材料,05,nhsa_consumables_category_C02
nhsa_consumables_category_C0206,外周血管介入,06,nhsa_consumables_category_C02
nhsa_consumables_category_C0207,通用介入治疗材料,07,nhsa_consumables_category_C02
nhsa_consumables_category_C0301,锚钉,01,nhsa_consumables_category_C03
nhsa_consumables_category_C0302,人工韧带系统,02,nhsa_consumables_category_C03
nhsa_consumables_category_C0303,固定钉,03,nhsa_consumables_category_C03
nhsa_consumables_category_C0305,拉力钉,05,nhsa_consumables_category_C03
nhsa_consumables_category_C0306,固定板,06,nhsa_consumables_category_C03
nhsa_consumables_category_C0307,半月板修复移植系统,07,nhsa_consumables_category_C03
nhsa_consumables_category_C0308,关节镜配套系统,08,nhsa_consumables_category_C03
nhsa_consumables_category_C0309,软骨修复系统,09,nhsa_consumables_category_C03
nhsa_consumables_category_C0310,其他微创材料,10,nhsa_consumables_category_C03
nhsa_consumables_category_C0311,接骨板,11,nhsa_consumables_category_C03
nhsa_consumables_category_C0312,螺钉,12,nhsa_consumables_category_C03
nhsa_consumables_category_C0313,髓内钉,13,nhsa_consumables_category_C03
nhsa_consumables_category_C0314,外固定架系统,14,nhsa_consumables_category_C03
nhsa_consumables_category_C0315,捆绑系统,15,nhsa_consumables_category_C03
nhsa_consumables_category_C0316,其他固定材料,16,nhsa_consumables_category_C03
nhsa_consumables_category_C0317,枕颈固定系统,17,nhsa_consumables_category_C03
nhsa_consumables_category_C0318,寰枢椎前路固定系统,18,nhsa_consumables_category_C03
nhsa_consumables_category_C0319,寰枢椎后路固定系统,19,nhsa_consumables_category_C03
nhsa_consumables_category_C0320,颈椎前路固定系统,20,nhsa_consumables_category_C03
nhsa_consumables_category_C0321,颈椎后路固定系统,21,nhsa_consumables_category_C03
nhsa_consumables_category_C0322,脊柱侧弯矫形系统,22,nhsa_consumables_category_C03
nhsa_consumables_category_C0323,颈胸固定系统,23,nhsa_consumables_category_C03
nhsa_consumables_category_C0324,胸腰椎前路固定系统,24,nhsa_consumables_category_C03
nhsa_consumables_category_C0325,胸腰椎后路固定系统,25,nhsa_consumables_category_C03
nhsa_consumables_category_C0326,胸腰椎后路微创系统,26,nhsa_consumables_category_C03
nhsa_consumables_category_C0327,小儿矫形系统,27,nhsa_consumables_category_C03
nhsa_consumables_category_C0328,骶髂固定系统,28,nhsa_consumables_category_C03
nhsa_consumables_category_C0329,脊柱固定融合系统,29,nhsa_consumables_category_C03
nhsa_consumables_category_C0330,腰椎非融合系统,30,nhsa_consumables_category_C03
nhsa_consumables_category_C0331,椎体成形系统,31,nhsa_consumables_category_C03
nhsa_consumables_category_C0332,人工椎间盘,32,nhsa_consumables_category_C03
nhsa_consumables_category_C0333,脊柱内镜配套系统,33,nhsa_consumables_category_C03
nhsa_consumables_category_C0334,人工全肩关节,34,nhsa_consumables_category_C03
nhsa_consumables_category_C0335,人工半肩关节,35,nhsa_consumables_category_C03
nhsa_consumables_category_C0336,人工反肩关节,36,nhsa_consumables_category_C03
nhsa_consumables_category_C0337,人工肘关节,37,nhsa_consumables_category_C03
nhsa_consumables_category_C0338,人工踝关节,38,nhsa_consumables_category_C03
nhsa_consumables_category_C0339,人工小关节,39,nhsa_consumables_category_C03
nhsa_consumables_category_C0340,人工关节配件,40,nhsa_consumables_category_C03
nhsa_consumables_category_C0341,骨肿瘤人工关节,41,nhsa_consumables_category_C03
nhsa_consumables_category_C0342,初次膝关节,42,nhsa_consumables_category_C03
nhsa_consumables_category_C0343,翻修膝关节,43,nhsa_consumables_category_C03
nhsa_consumables_category_C0344,初次髋关节,44,nhsa_consumables_category_C03
nhsa_consumables_category_C0345,翻修髋关节,45,nhsa_consumables_category_C03
nhsa_consumables_category_C0346,半髋关节,46,nhsa_consumables_category_C03
nhsa_consumables_category_C0347,骨科通用材料,47,nhsa_consumables_category_C03
nhsa_consumables_category_C0348,动力系统,48,nhsa_consumables_category_C03
nhsa_consumables_category_C0349,骨科机器人手术相关材料,49,nhsa_consumables_category_C03
nhsa_consumables_category_C0350,骨科导航相关材料,50,nhsa_consumables_category_C03
nhsa_consumables_category_C0401,颅骨固定/修补材料,01,nhsa_consumables_category_C04
nhsa_consumables_category_C0403,硬脑（脊）膜修补材料,03,nhsa_consumables_category_C04
nhsa_consumables_category_C0404,动脉瘤夹,04,nhsa_consumables_category_C04
nhsa_consumables_category_C0405,脑电监测材料,05,nhsa_consumables_category_C04
nhsa_consumables_category_C0406,颅内压监测材料,06,nhsa_consumables_category_C04
nhsa_consumables_category_C0407,脑脊液分流材料,07,nhsa_consumables_category_C04
nhsa_consumables_category_C0408,神经刺激材料,08,nhsa_consumables_category_C04
nhsa_consumables_category_C0501,心律失常外科,01,nhsa_consumables_category_C05
nhsa_consumables_category_C0502,冠脉外科,02,nhsa_consumables_category_C05
nhsa_consumables_category_C0503,结构心脏病用外科材料,03,nhsa_consumables_category_C05
nhsa_consumables_category_C0504,心室辅助装置,04,nhsa_consumables_category_C05
nhsa_consumables_category_C0505,其他心脏外科材料,05,nhsa_consumables_category_C05
nhsa_consumables_category_C0601,感觉器官、组织及配套材料,01,nhsa_consumables_category_C06
nhsa_consumables_category_C0602,血液循环、净化系统人工器官、组织及配套材料,02,nhsa_consumables_category_C06
nhsa_consumables_category_C0603,呼吸系统人工器官、组织及配套材料,03,nhsa_consumables_category_C06
nhsa_consumables_category_C0604,泌尿系统人工器官、组织及配套材料,04,nhsa_consumables_category_C06
nhsa_consumables_category_C0605,生殖系统人工器官、组织及配套材料,05,nhsa_consumables_category_C06
nhsa_consumables_category_C0606,其他人工器官、组织及配套材料,06,nhsa_consumables_category_C06
nhsa_consumables_category_C0607,人体器官填充材料,07,nhsa_consumables_category_C06
nhsa_consumables_category_C0701,颌面整复材料,01,nhsa_consumables_category_C07
nhsa_consumables_category_C0702,口腔种植修复材料,02,nhsa_consumables_category_C07
nhsa_consumables_category_C0703,根管材料,03,nhsa_consumables_category_C07
nhsa_consumables_category_C0704,水门汀和粘接用材料,04,nhsa_consumables_category_C07
nhsa_consumables_category_C0705,牙体材料,05,nhsa_consumables_category_C07
nhsa_consumables_category_C0706,修复体制作材料,06,nhsa_consumables_category_C07
nhsa_consumables_category_C0707,义齿制作辅助材料,07,nhsa_consumables_category_C07
nhsa_consumables_category_C0708,印模及咬合记录材料,08,nhsa_consumables_category_C07
nhsa_consumables_category_C0709,预成修复体制品,09,nhsa_consumables_category_C07
nhsa_consumables_category_C0710,预防材料,10,nhsa_consumables_category_C07
nhsa_consumables_category_C0711,正畸材料及制品,11,nhsa_consumables_category_C07
nhsa_consumables_category_C0712,其他类口腔材料,12,nhsa_consumables_category_C07
nhsa_consumables_category_C0801,人工晶状体,01,nhsa_consumables_category_C08
nhsa_consumables_category_C0802,青光眼引流植入物,02,nhsa_consumables_category_C08
nhsa_consumables_category_C0803,眼表修复材料,03,nhsa_consumables_category_C08
nhsa_consumables_category_C0804,眼部创伤修复材料,04,nhsa_consumables_category_C08
nhsa_consumables_category_C0805,眼内填充物,05,nhsa_consumables_category_C08
nhsa_consumables_category_C0806,眶内填充物,06,nhsa_consumables_category_C08
nhsa_consumables_category_C0807,术中材料,07,nhsa_consumables_category_C08
nhsa_consumables_category_C0808,其他眼科用材料,08,nhsa_consumables_category_C08
nhsa_consumables_category_C0901,插管,01,nhsa_consumables_category_C09
nhsa_consumables_category_C0902,动脉微栓过滤器,02,nhsa_consumables_category_C09
nhsa_consumables_category_C0903,体外循环管路,03,nhsa_consumables_category_C09
nhsa_consumables_category_C0904,心肌保护液灌注装置,04,nhsa_consumables_category_C09
nhsa_consumables_category_C0905,血液滤过器,05,nhsa_consumables_category_C09
nhsa_consumables_category_C0906,氧合器,06,nhsa_consumables_category_C09
nhsa_consumables_category_C0908,离心泵头,08,nhsa_consumables_category_C09
nhsa_consumables_category_C0910,其他体外循环材料,10,nhsa_consumables_category_C09
nhsa_consumables_category_C1001,分子吸附再循环系统,01,nhsa_consumables_category_C10
nhsa_consumables_category_C1002,腹膜透析材料,02,nhsa_consumables_category_C10
nhsa_consumables_category_C1003,血浆置换材料,03,nhsa_consumables_category_C10
nhsa_consumables_category_C1004,血液透析滤过材料,04,nhsa_consumables_category_C10
nhsa_consumables_category_C1005,连续性血液滤过材料,05,nhsa_consumables_category_C10
nhsa_consumables_category_C1006,血液净化用材料,06,nhsa_consumables_category_C10
nhsa_consumables_category_C1007,血液吸附材料,07,nhsa_consumables_category_C10
nhsa_consumables_category_C1008,血液透析材料,08,nhsa_consumables_category_C10
nhsa_consumables_category_C1009,血液透析血管通路,09,nhsa_consumables_category_C10
nhsa_consumables_category_C1010,其他血液净化材料,10,nhsa_consumables_category_C10
nhsa_consumables_category_C1101,开放及微创手术通用吻合器及钉仓,01,nhsa_consumables_category_C11
nhsa_consumables_category_C1102,开放手术用吻合器及钉仓,02,nhsa_consumables_category_C11
nhsa_consumables_category_C1103,其他吻合器及附件,03,nhsa_consumables_category_C11
nhsa_consumables_category_C1201,骨盆底修补材料,01,nhsa_consumables_category_C12
nhsa_consumables_category_C1202,皮肤修补材料,02,nhsa_consumables_category_C12
nhsa_consumables_category_C1203,胸（腹）壁缺损修补材料,03,nhsa_consumables_category_C12
nhsa_consumables_category_C1204,软组织修补材料,04,nhsa_consumables_category_C12
nhsa_consumables_category_C1205,疝修补材料,05,nhsa_consumables_category_C12
nhsa_consumables_category_C1206,心血管修补材料,06,nhsa_consumables_category_C12
nhsa_consumables_category_C1207,其他修补材料,07,nhsa_consumables_category_C12
nhsa_consumables_category_C1301,耳贴,01,nhsa_consumables_category_C13
nhsa_consumables_category_C1302,针具,02,nhsa_consumables_category_C13
nhsa_consumables_category_C1303,棉纸,03,nhsa_consumables_category_C13
nhsa_consumables_category_C1304,其他中医材料,04,nhsa_consumables_category_C13
nhsa_consumables_category_C1401,避孕材料,01,nhsa_consumables_category_C14
nhsa_consumables_category_C1402,常规医疗用品,02,nhsa_consumables_category_C14
nhsa_consumables_category_C1403,超声刀头,03,nhsa_consumables_category_C14
nhsa_consumables_category_C1404,等离子刀头,04,nhsa_consumables_category_C14
nhsa_consumables_category_C1405,射频刀头,05,nhsa_consumables_category_C14
nhsa_consumables_category_C1406,高频电刀,06,nhsa_consumables_category_C14
nhsa_consumables_category_C1407,光电及辅助材料,07,nhsa_consumables_category_C14
nhsa_consumables_category_C1408,缝合及凝固材料,08,nhsa_consumables_category_C14
nhsa_consumables_category_C1409,护创材料,09,nhsa_consumables_category_C14
nhsa_consumables_category_C1410,麻醉包及套件,10,nhsa_consumables_category_C14
nhsa_consumables_category_C1411,药液转移器,11,nhsa_consumables_category_C14
nhsa_consumables_category_C1412,引流袋,12,nhsa_consumables_category_C14
nhsa_consumables_category_C1413,造口护理材料,13,nhsa_consumables_category_C14
nhsa_consumables_category_C1415,扩张导管,15,nhsa_consumables_category_C14
nhsa_consumables_category_C1416,测压导管,16,nhsa_consumables_category_C14
nhsa_consumables_category_C1417,导管、冲洗吸引装置,17,nhsa_consumables_category_C14
nhsa_consumables_category_C1418,辅助生殖导管,18,nhsa_consumables_category_C14
nhsa_consumables_category_C1419,专用吸引材料,19,nhsa_consumables_category_C14
nhsa_consumables_category_C1420,辅助生殖用针,20,nhsa_consumables_category_C14
nhsa_consumables_category_C1421,辅助生殖胚胎冷冻解冻液,21,nhsa_consumables_category_C14
nhsa_consumables_category_C1422,辅助生殖胚胎培养液,22,nhsa_consumables_category_C14
nhsa_consumables_category_C1423,输液、输血器具及管路,23,nhsa_consumables_category_C14
nhsa_consumables_category_C1424,消化道插管/引流管,24,nhsa_consumables_category_C14
nhsa_consumables_category_C1425,气管插管及附件,25,nhsa_consumables_category_C14
nhsa_consumables_category_C1426,电磁导航材料,26,nhsa_consumables_category_C14
nhsa_consumables_category_C1501,止血材料,01,nhsa_consumables_category_C15
nhsa_consumables_category_C1502,防粘连材料,02,nhsa_consumables_category_C15
nhsa_consumables_category_C1601,注射器类,01,nhsa_consumables_category_C16
nhsa_consumables_category_C1602,注射针,02,nhsa_consumables_category_C16
nhsa_consumables_category_C1603,动静脉、管腔室穿刺器,03,nhsa_consumables_category_C16
nhsa_consumables_category_C1604,内镜用穿刺器,04,nhsa_consumables_category_C16
nhsa_consumables_category_C1605,血管内留置针,05,nhsa_consumables_category_C16
nhsa_consumables_category_C1701,创口敷料,01,nhsa_consumables_category_C17
nhsa_consumables_category_C1702,疤痕敷料,02,nhsa_consumables_category_C17
nhsa_consumables_category_C1703,包扎敷料,03,nhsa_consumables_category_C17
nhsa_consumables_category_C1704,其他敷料,04,nhsa_consumables_category_C17
nhsa_consumables_category_C010101,气管支气管支架,01,nhsa_consumables_category_C0101
nhsa_consumables_category_C010102,气道球囊,02,nhsa_consumables_category_C0101
nhsa_consumables_category_C010103,气道导丝,03,nhsa_consumables_category_C0101
nhsa_consumables_category_C010104,气道射频导管,04,nhsa_consumables_category_C0101
nhsa_consumables_category_C010106,呼吸类细胞刷,06,nhsa_consumables_category_C0101
nhsa_consumables_category_C010107,呼吸活检钳,07,nhsa_consumables_category_C0101
