id,name,ref,company_type,category_id/id
enterprise_00002,北京蓝海微医疗器械有限公司,00002,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00004,漳州市佳冠医疗用品有限公司,00004,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00006,河南硕植医疗器械有限公司,00006,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00007,丝维亚（上海）贸易有限公司,00007,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00012,深圳市德迈科技有限公司,00012,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00013,常州安康医疗器械有限公司,00013,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00016,当阳祥顺卫材开发有限公司,00016,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00018,东莞椿田医用包装材料有限公司,00018,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00019,上海华舟压敏胶制品有限公司,00019,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00021,南通市金鼎义齿科技有限公司,00021,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00024,保定市星灿义齿制作有限公司,00024,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00025,埃客（上海）医用设备有限公司,00025,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00027,沈阳大得医疗器械产品有限公司,00027,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00028,成都好特医疗器械有限公司,00028,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00029,鹤壁市中兴医疗用品有限公司,00029,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00033,吉安长江生物药业有限公司,00033,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00038,江西顺医科技有限公司,00038,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00039,江苏亚华生物科技工程有限公司,00039,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00042,上海优科骨科器材有限公司,00042,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00044,联贸医疗用品技术（上海）有限公司,00044,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00046,深圳诺贝斯齿科技术有限公司,00046,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00047,广州市弘健生物医用制品科技有限公司,00047,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00049,微泰医疗器械（杭州）股份有限公司,00049,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00051,芜湖市优美义齿制作有限公司,00051,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00052,浙江裕瑞昌信息科技有限公司,00052,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00053,郑州信翰科技有限公司,00053,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00054,云南三鑫医疗科技有限公司,00054,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00055,杭州炬九生物科技有限公司,00055,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00056,常州市康宇医疗器械有限公司,00056,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00057,河北鑫乐医疗器械科技股份有限公司,00057,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00059,常州市康辉医疗器械有限公司,00059,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00060,深圳爱美适科技有限公司,00060,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00063,沈阳丹海生物制品有限公司,00063,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00064,上海登德投资管理有限公司,00064,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00067,上海科卫医疗技术研究所,00067,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00069,哈尔滨张迪诚信义齿有限公司,00069,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00070,深圳雷虎医疗设备制造有限公司,00070,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00072,威海威高洁丽康生物材料有限公司,00072,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00075,上海震海医用设备有限公司,00075,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00078,苏州君康医疗科技有限公司,00078,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00079,上海晶致医疗器械有限公司,00079,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00080,来时路医用材料有限责任公司,00080,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00081,山东盛凯源药业有限公司,00081,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00082,纽白特（北京）商贸有限公司,00082,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00085,昆明康益义齿制作有限公司,00085,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00087,沈阳盛道医疗器材有限公司,00087,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00088,广州市飞扬志杰医疗器械有限公司,00088,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00089,永康市雅致医疗器械有限公司,00089,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00092,陕西安信医学技术开发有限公司,00092,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00093,扬州市苏美义齿技术有限公司,00093,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00094,无锡赛锐斯医疗器械有限公司,00094,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00095,江苏省永宁医疗器械有限公司,00095,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00096,上海利格泰医用设备有限公司,00096,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00097,江西鑫茂生化医用品有限公司,00097,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00098,江西龙腾生物高科技有限公司,00098,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00101,徐州弘立卫生材料有限公司,00101,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00102,韶关市德维雅义齿技术开发有限公司,00102,机构,nhsa_consumables.res_partner_category_manufacturer
enterprise_00103,长沙傲伦口腔器材有限公司,00103,机构,nhsa_consumables.res_partner_category_manufacturer
