id,name,code,parent_id/id
nhsa_consumables_category_C01,非血管介入治疗类材料,C01,nhsa_consumables_category_all
nhsa_consumables_category_C02,血管介入治疗类材料,C02,nhsa_consumables_category_all
nhsa_consumables_category_C03,骨科材料,C03,nhsa_consumables_category_all
nhsa_consumables_category_C04,神经外科材料,C04,nhsa_consumables_category_all
nhsa_consumables_category_C05,心脏外科类材料,C05,nhsa_consumables_category_all
nhsa_consumables_category_C06,人工器官、组织及配套材料,C06,nhsa_consumables_category_all
nhsa_consumables_category_C07,口腔材料,C07,nhsa_consumables_category_all
nhsa_consumables_category_C08,眼科材料,C08,nhsa_consumables_category_all
nhsa_consumables_category_C09,体外循环材料,C09,nhsa_consumables_category_all
nhsa_consumables_category_C10,血液净化材料,C10,nhsa_consumables_category_all
nhsa_consumables_category_C11,吻合器及附件,C11,nhsa_consumables_category_all
nhsa_consumables_category_C12,修补材料,C12,nhsa_consumables_category_all
nhsa_consumables_category_C13,中医类材料,C13,nhsa_consumables_category_all
nhsa_consumables_category_C14,基础卫生材料,C14,nhsa_consumables_category_all
nhsa_consumables_category_C15,止血防粘连材料,C15,nhsa_consumables_category_all
nhsa_consumables_category_C16,注射穿刺类材料,C16,nhsa_consumables_category_all
nhsa_consumables_category_C17,功能性敷料,C17,nhsa_consumables_category_all
nhsa_consumables_category_C0101,呼吸介入材料,C0101,nhsa_consumables_category_C01
nhsa_consumables_category_C0102,消化介入材料,C0102,nhsa_consumables_category_C01
nhsa_consumables_category_C0103,泌尿介入材料,C0103,nhsa_consumables_category_C01
nhsa_consumables_category_C0104,乳腺介入材料,C0104,nhsa_consumables_category_C01
nhsa_consumables_category_C0105,肿瘤介入材料,C0105,nhsa_consumables_category_C01
nhsa_consumables_category_C0106,非血管介入通用材料,C0106,nhsa_consumables_category_C01
nhsa_consumables_category_C0107,其他非血管介入材料,C0107,nhsa_consumables_category_C01
nhsa_consumables_category_C0201,电生理类材料,C0201,nhsa_consumables_category_C02
nhsa_consumables_category_C0202,冠脉介入治疗材料,C0202,nhsa_consumables_category_C02
nhsa_consumables_category_C0203,结构心脏病用材料,C0203,nhsa_consumables_category_C02
nhsa_consumables_category_C0204,起搏器类材料,C0204,nhsa_consumables_category_C02
nhsa_consumables_category_C0205,神经介入治疗材料,C0205,nhsa_consumables_category_C02
nhsa_consumables_category_C0206,外周血管介入,C0206,nhsa_consumables_category_C02
nhsa_consumables_category_C0207,通用介入治疗材料,C0207,nhsa_consumables_category_C02
nhsa_consumables_category_C0301,锚钉,C0301,nhsa_consumables_category_C03
nhsa_consumables_category_C0302,人工韧带系统,C0302,nhsa_consumables_category_C03
nhsa_consumables_category_C0303,固定钉,C0303,nhsa_consumables_category_C03
nhsa_consumables_category_C0305,拉力钉,C0305,nhsa_consumables_category_C03
