name,primary,secondary,tertiary,common_name,material,specifications,enterprise
C0101010010100103941,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,001-全覆膜,南京法迈特科技发展有限公司
C0101010010100104744,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,001-全覆膜,麦瑞通医疗器械（北京）有限公司
C0101010010100104937,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,001-全覆膜,南微医学科技股份有限公司
C0101010010100403941,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,004-半覆膜,南京法迈特科技发展有限公司
C0101010010100404937,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,004-半覆膜,南微医学科技股份有限公司
C0101010010100411325,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,004-半覆膜,波科国际医疗贸易（上海）有限公司
C0101010010100704900,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,007-非覆膜,常州佳森医疗器械有限公司
C0101010010100704937,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,007-非覆膜,南微医学科技股份有限公司
C0101010010100709820,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,007-非覆膜,常州市智业医疗仪器研究所有限公司
C0101010010100711325,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,01-镍钛合金,007-非覆膜,波科国际医疗贸易（上海）有限公司
C0101010010200107555,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,02-不锈钢,001-全覆膜,淮安市西格玛医用实业有限公司
C0101010010200110088,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,02-不锈钢,001-全覆膜,青岛中惠圣熙生物工程有限公司
C0101010010300101530,01-非血管介入治疗类材料,01-呼吸介入材料,01-气管支气管支架,001-支架,03-硅酮,001-全覆膜,广州东合伟信医疗科技发展有限公司
