id,name,code,parent_id/id
icd10_category_chapter_A00-B99,某些传染病和寄生虫病,A00-B99,nhsa_icd10.icd10_category_all
icd10_category_chapter_C00-D48,肿瘤,C00-D48,nhsa_icd10.icd10_category_all
icd10_category_chapter_D50-D89,血液及造血器官疾病和涉及免疫机制的某些疾患,D50-D89,nhsa_icd10.icd10_category_all
icd10_category_chapter_E00-E90,内分泌、营养和代谢疾病,E00-E90,nhsa_icd10.icd10_category_all
icd10_category_chapter_F00-F99,精神和行为障碍,F00-F99,nhsa_icd10.icd10_category_all
icd10_category_chapter_G00-G99,神经系统疾病,G00-G99,nhsa_icd10.icd10_category_all
icd10_category_chapter_H00-H59,眼和附器疾病,H00-H59,nhsa_icd10.icd10_category_all
icd10_category_chapter_H60-H95,耳和乳突疾病,H60-H95,nhsa_icd10.icd10_category_all
icd10_category_chapter_I00-I99,循环系统疾病,I00-I99,nhsa_icd10.icd10_category_all
icd10_category_chapter_J00-J99,呼吸系统疾病,J00-J99,nhsa_icd10.icd10_category_all
icd10_category_chapter_K00-K93,消化系统疾病,K00-K93,nhsa_icd10.icd10_category_all
icd10_category_chapter_L00-L99,皮肤和皮下组织疾病,L00-L99,nhsa_icd10.icd10_category_all
icd10_category_chapter_M00-M99,肌肉骨骼系统和结缔组织疾病,M00-M99,nhsa_icd10.icd10_category_all
icd10_category_chapter_N00-N99,泌尿生殖系统疾病,N00-N99,nhsa_icd10.icd10_category_all
icd10_category_chapter_O00-O99,妊娠、分娩和产褥期,O00-O99,nhsa_icd10.icd10_category_all
icd10_category_chapter_P00-P96,起源于围生期的某些情况,P00-P96,nhsa_icd10.icd10_category_all
icd10_category_chapter_Q00-Q99,先天性畸形、变形和染色体异常,Q00-Q99,nhsa_icd10.icd10_category_all
icd10_category_chapter_R00-R99,症状、体征和临床与实验室异常所见，不可归类在他处者,R00-R99,nhsa_icd10.icd10_category_all
icd10_category_chapter_S00-T98,损伤、中毒和外因的某些其他后果,S00-T98,nhsa_icd10.icd10_category_all
icd10_category_chapter_U00-U85,用于特殊目的的编码,U00-U85,nhsa_icd10.icd10_category_all
icd10_category_chapter_V01-Y98,疾病和死亡的外因,V01-Y98,nhsa_icd10.icd10_category_all
icd10_category_chapter_Z00-Z99,影响健康状态和与保健机构接触的因素,Z00-Z99,nhsa_icd10.icd10_category_all
icd10_category_block_A00-A09,肠道传染病,A00-A09,icd10_category_chapter_A00-B99
icd10_category_block_A15-A19,结核病,A15-A19,icd10_category_chapter_A00-B99
icd10_category_block_A20-A28,某些动物源性细菌性疾病,A20-A28,icd10_category_chapter_A00-B99
icd10_category_block_A30-A49,其他细菌性疾病,A30-A49,icd10_category_chapter_A00-B99
icd10_category_block_A50-A64,主要为性传播模式的感染,A50-A64,icd10_category_chapter_A00-B99
icd10_category_block_A65-A69,其他螺旋体病,A65-A69,icd10_category_chapter_A00-B99
icd10_category_block_A70-A74,由衣原体引起的其他疾病,A70-A74,icd10_category_chapter_A00-B99
icd10_category_block_A75-A79,立克次体病,A75-A79,icd10_category_chapter_A00-B99
icd10_category_block_A80-A89,中枢神经系统的病毒性感染,A80-A89,icd10_category_chapter_A00-B99
icd10_category_block_A92-A99,节肢动物媒介的病毒性发热和病毒性出血热,A92-A99,icd10_category_chapter_A00-B99
icd10_category_block_B00-B09,特征为皮肤和粘膜损害的病毒性感染,B00-B09,icd10_category_chapter_A00-B99
icd10_category_block_B15-B19,病毒性肝炎,B15-B19,icd10_category_chapter_A00-B99
icd10_category_block_B20-B24,人类免疫缺陷病毒[HIV]病,B20-B24,icd10_category_chapter_A00-B99
icd10_category_block_B25-B34,其他病毒性疾病,B25-B34,icd10_category_chapter_A00-B99
icd10_category_block_B35-B49,真菌病,B35-B49,icd10_category_chapter_A00-B99
icd10_category_block_B50-B64,原虫性疾病,B50-B64,icd10_category_chapter_A00-B99
icd10_category_block_B65-B83,蠕虫病,B65-B83,icd10_category_chapter_A00-B99
icd10_category_block_B85-B89,虱病、螨病和其他病虫侵染,B85-B89,icd10_category_chapter_A00-B99
icd10_category_block_B90-B94,传染病和寄生虫病的后遗症,B90-B94,icd10_category_chapter_A00-B99
icd10_category_block_B95-B98,细菌、病毒和其他传染性病原体,B95-B98,icd10_category_chapter_A00-B99
icd10_category_block_B99-B99,其他传染病,B99-B99,icd10_category_chapter_A00-B99
icd10_category_block_C00-C14,唇、口腔和咽恶性肿瘤,C00-C14,icd10_category_chapter_C00-D48
icd10_category_block_C00−C75,特指部位述及或假定为原发性的恶性肿瘤，除外淋巴、造血和有关组织,C00−C75,icd10_category_chapter_C00-D48
icd10_category_block_C00−C97,恶性肿瘤,C00−C97,icd10_category_chapter_C00-D48
icd10_category_block_C15-C26,消化器官恶性肿瘤,C15-C26,icd10_category_chapter_C00-D48
icd10_category_block_C30-C39,呼吸和胸腔内器官恶性肿瘤,C30-C39,icd10_category_chapter_C00-D48
icd10_category_block_C40-C41,骨和关节软骨恶性肿瘤,C40-C41,icd10_category_chapter_C00-D48
icd10_category_block_C43-C44,皮肤黑色素瘤和其他恶性肿瘤,C43-C44,icd10_category_chapter_C00-D48
icd10_category_block_C45-C49,间皮组织和软组织恶性肿瘤,C45-C49,icd10_category_chapter_C00-D48
icd10_category_block_C50-C50,乳房恶性肿瘤,C50-C50,icd10_category_chapter_C00-D48
icd10_category_block_C51-C58,女性生殖器官恶性肿瘤,C51-C58,icd10_category_chapter_C00-D48
icd10_category_block_C60-C63,男性生殖器官恶性肿瘤,C60-C63,icd10_category_chapter_C00-D48
icd10_category_block_C64-C68,泌尿道恶性肿瘤,C64-C68,icd10_category_chapter_C00-D48
icd10_category_block_C69-C72,眼、脑和中枢神经系统其他部位的恶性肿瘤,C69-C72,icd10_category_chapter_C00-D48
icd10_category_block_C73-C75,甲状腺和其他内分泌腺恶性肿瘤,C73-C75,icd10_category_chapter_C00-D48
icd10_category_block_C76-C80,不明确、继发和未特指部位的恶性肿瘤,C76-C80,icd10_category_chapter_C00-D48
icd10_category_block_C81-C96,淋巴、造血和有关组织的恶性肿瘤或假定为原发性的恶性肿瘤,C81-C96,icd10_category_chapter_C00-D48
icd10_category_block_C97-C97,独立（原发）多个部位的恶性肿瘤,C97-C97,icd10_category_chapter_C00-D48
icd10_category_block_D00-D09,原位肿瘤,D00-D09,icd10_category_chapter_C00-D48
icd10_category_block_D10-D36,良性肿瘤,D10-D36,icd10_category_chapter_C00-D48
icd10_category_block_D37-D48,动态未定或动态未知的肿瘤,D37-D48,icd10_category_chapter_C00-D48
icd10_category_block_D50-D53,营养性贫血,D50-D53,icd10_category_chapter_D50-D89
icd10_category_block_D55-D59,溶血性贫血,D55-D59,icd10_category_chapter_D50-D89
icd10_category_block_D60-D64,再生障碍性及其他贫血,D60-D64,icd10_category_chapter_D50-D89
icd10_category_block_D65-D69,凝血缺陷、紫癜和其他出血性情况,D65-D69,icd10_category_chapter_D50-D89
icd10_category_block_D70-D77,其他血液和造血器官疾病,D70-D77,icd10_category_chapter_D50-D89
icd10_category_block_D80-D89,涉及免疫机制的某些疾患,D80-D89,icd10_category_chapter_D50-D89
icd10_category_block_E00-E07,甲状腺疾患,E00-E07,icd10_category_chapter_E00-E90
icd10_category_block_E10-E14,糖尿病,E10-E14,icd10_category_chapter_E00-E90
icd10_category_block_E15-E16,葡萄糖调节和胰腺内分泌的其他疾患,E15-E16,icd10_category_chapter_E00-E90
icd10_category_block_E20-E35,其他内分泌腺疾患,E20-E35,icd10_category_chapter_E00-E90
