id,code,name,category_id/id
icd10_diagnostic_code_A00.000x001,A00.000x001,古典生物型霍乱,icd10_category_subcategory_A00.0
icd10_diagnostic_code_A00.100,A00.100,霍乱，由于O1群霍乱弧菌，埃尔托生物型所致,icd10_category_subcategory_A00.1
icd10_diagnostic_code_A00.100x001,A00.100x001,埃尔托生物型霍乱,icd10_category_subcategory_A00.1
icd10_diagnostic_code_A00.900,A00.900,霍乱,icd10_category_subcategory_A00.9
icd10_diagnostic_code_A00.900x002,A00.900x002,霍乱轻型,icd10_category_subcategory_A00.9
icd10_diagnostic_code_A00.900x003,A00.900x003,霍乱中型,icd10_category_subcategory_A00.9
icd10_diagnostic_code_A00.900x004,A00.900x004,霍乱重型,icd10_category_subcategory_A00.9
icd10_diagnostic_code_A00.900x005,A00.900x005,霍乱暴发型,icd10_category_subcategory_A00.9
icd10_diagnostic_code_A01.000,A01.000,伤寒,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x004,A01.000x004,伤寒复发,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x005+J17.0*,A01.000x005+J17.0*,伤寒并发肺炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x006,A01.000x006,伤寒迁延型,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x007,A01.000x007,伤寒逍遥型,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x008,A01.000x008,伤寒并发腹膜炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x009,A01.000x009,伤寒并发肠穿孔,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x010,A01.000x010,伤寒并发肠出血,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x011,A01.000x011,伤寒并发中毒性肝炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x012,A01.000x012,伤寒并发支气管炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x014,A01.000x014,伤寒并发胆囊炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x016+I41.0*,A01.000x016+I41.0*,伤寒并发中毒性心肌炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x017,A01.000x017,伤寒轻型,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x018,A01.000x018,伤寒普通型,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x019,A01.000x019,伤寒暴发型,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.000x020,A01.000x020,伤寒再燃,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.001+K77.0*,A01.001+K77.0*,伤寒性肝炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.002+G01*,A01.002+G01*,伤寒性脑膜炎,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.003,A01.003,伤寒杆菌性脓毒症,icd10_category_subcategory_A01.0
icd10_diagnostic_code_A01.100,A01.100,副伤寒甲,icd10_category_subcategory_A01.1
icd10_diagnostic_code_A01.200,A01.200,副伤寒乙,icd10_category_subcategory_A01.2
icd10_diagnostic_code_A01.300,A01.300,副伤寒丙,icd10_category_subcategory_A01.3
icd10_diagnostic_code_A01.400,A01.400,副伤寒,icd10_category_subcategory_A01.4
icd10_diagnostic_code_A02.000,A02.000,沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.000x005,A02.000x005,婴儿沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.000x006,A02.000x006,C群沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.000x007,A02.000x007,B群沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.000x009,A02.000x009,沙门菌小肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.000x010,A02.000x010,猪霍乱沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.001,A02.001,阿哥拉沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.002,A02.002,沙门菌伦敦血清型肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.003,A02.003,沙门菌胃肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.004,A02.004,鼠伤寒沙门菌肠炎,icd10_category_subcategory_A02.0
icd10_diagnostic_code_A02.100,A02.100,沙门菌脓毒症,icd10_category_subcategory_A02.1
icd10_diagnostic_code_A02.100x002,A02.100x002,鼠伤寒沙门菌脓毒症,icd10_category_subcategory_A02.1
icd10_diagnostic_code_A02.101,A02.101,猪霍乱沙门菌脓毒症,icd10_category_subcategory_A02.1
icd10_diagnostic_code_A02.200,A02.200,局限性沙门菌感染,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.201+J17.0*,A02.201+J17.0*,沙门菌肺炎,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.202+M01.3*,A02.202+M01.3*,沙门菌关节炎,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.203+G01*,A02.203+G01*,沙门菌脑膜炎,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.204+M90.2*,A02.204+M90.2*,沙门菌骨髓炎,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.205+N16.0*,A02.205+N16.0*,沙门菌性肾小管-间质病变,icd10_category_subcategory_A02.2
icd10_diagnostic_code_A02.800,A02.800,沙门菌感染，其他特指的,icd10_category_subcategory_A02.8
icd10_diagnostic_code_A02.900,A02.900,沙门菌感染,icd10_category_subcategory_A02.9
icd10_diagnostic_code_A02.900x002,A02.900x002,鼠伤寒沙门菌感染,icd10_category_subcategory_A02.9
icd10_diagnostic_code_A02.900x003,A02.900x003,沙门菌属食物中毒,icd10_category_subcategory_A02.9
icd10_diagnostic_code_A02.900x004,A02.900x004,亚利桑那菌感染,icd10_category_subcategory_A02.9
icd10_diagnostic_code_A02.901,A02.901,猪霍乱沙门菌感染,icd10_category_subcategory_A02.9
icd10_diagnostic_code_A03.000,A03.000,志贺痢疾杆菌引起的细菌性痢疾,icd10_category_subcategory_A03.0
icd10_diagnostic_code_A03.000x001,A03.000x001,痢疾志贺菌痢疾,icd10_category_subcategory_A03.0
icd10_diagnostic_code_A03.100,A03.100,弗氏志贺菌引起的细菌性痢疾,icd10_category_subcategory_A03.1
icd10_diagnostic_code_A03.100x001,A03.100x001,福氏志贺菌痢疾,icd10_category_subcategory_A03.1
icd10_diagnostic_code_A03.200,A03.200,波氏志贺菌引起的细菌性痢疾,icd10_category_subcategory_A03.2
icd10_diagnostic_code_A03.200x001,A03.200x001,鲍氏志贺菌痢疾,icd10_category_subcategory_A03.2
icd10_diagnostic_code_A03.300,A03.300,宋内志贺菌引起的细菌性痢疾,icd10_category_subcategory_A03.3
icd10_diagnostic_code_A03.300x001,A03.300x001,宋内志贺菌痢疾,icd10_category_subcategory_A03.3
icd10_diagnostic_code_A03.800,A03.800,细菌性痢疾，其他的,icd10_category_subcategory_A03.8
icd10_diagnostic_code_A03.800x001,A03.800x001,不定型志贺菌痢疾,icd10_category_subcategory_A03.8
icd10_diagnostic_code_A03.800x002,A03.800x002,菌痢混合感染,icd10_category_subcategory_A03.8
icd10_diagnostic_code_A03.900,A03.900,细菌性痢疾,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.900x002,A03.900x002,慢性细菌性痢疾急性发作,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.900x005,A03.900x005,慢性隐匿型菌痢,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.900x007,A03.900x007,中毒型菌痢休克型,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.900x008,A03.900x008,中毒型菌痢脑型,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.900x009,A03.900x009,中毒型菌痢混合型,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.901,A03.901,急性细菌性痢疾,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.902,A03.902,慢性迁延型细菌性痢疾,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.903,A03.903,慢性细菌性痢疾,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A03.904,A03.904,中毒型细菌性痢疾,icd10_category_subcategory_A03.9
icd10_diagnostic_code_A04.000,A04.000,肠道病原性大肠杆菌感染,icd10_category_subcategory_A04.0
icd10_diagnostic_code_A04.000x001,A04.000x001,新生儿肠致病性大肠杆菌肠炎,icd10_category_subcategory_A04.0
icd10_diagnostic_code_A04.000x002,A04.000x002,肠致病性大肠杆菌肠炎,icd10_category_subcategory_A04.0
icd10_diagnostic_code_A04.100,A04.100,肠毒性大肠杆菌感染,icd10_category_subcategory_A04.1
icd10_diagnostic_code_A04.100x001,A04.100x001,肠毒性大肠杆菌肠炎,icd10_category_subcategory_A04.1
icd10_diagnostic_code_A04.100x002,A04.100x002,新生儿肠毒性大肠杆菌肠炎,icd10_category_subcategory_A04.1
icd10_diagnostic_code_A04.200,A04.200,肠侵袭性大肠杆菌感染,icd10_category_subcategory_A04.2
icd10_diagnostic_code_A04.200x001,A04.200x001,肠侵袭性大肠杆菌肠炎,icd10_category_subcategory_A04.2
icd10_diagnostic_code_A04.200x002,A04.200x002,新生儿肠侵袭性大肠杆菌肠炎,icd10_category_subcategory_A04.2
