id,code,master_code,name,category
nhsa_jbzd_00_0100,"00.0100",True,"头和颈部血管治疗性超声","治疗性操作"
nhsa_jbzd_00_0101,"00.0101",True,"头部血管治疗性超声","治疗性操作"
nhsa_jbzd_00_0102,"00.0102",True,"颈部血管治疗性超声","治疗性操作"
nhsa_jbzd_00_0200,"00.0200",True,"心脏治疗性超声","治疗性操作"
nhsa_jbzd_00_0200x001,"00.0200x001",True,"心脏血管治疗性超声","治疗性操作"
nhsa_jbzd_00_0300,"00.0300",True,"周围血管治疗性超声","治疗性操作"
nhsa_jbzd_00_0900,"00.0900",True,"其他治疗性超声","治疗性操作"
nhsa_jbzd_00_0900x001,"00.0900x001",True,"治疗性超声","治疗性操作"
nhsa_jbzd_00_0901,"00.0901",True,"高强度聚焦超声治疗","治疗性操作"
nhsa_jbzd_00_1000,"00.1000",True,"化学治疗物质植入","治疗性操作"
nhsa_jbzd_00_1100,"00.1100",True,"重组人类活化C蛋白输注","治疗性操作"
nhsa_jbzd_00_1101,"00.1101",True,"重组蛋白输注","治疗性操作"
nhsa_jbzd_00_1200,"00.1200",True,"吸入一氧化氮管理","治疗性操作"
nhsa_jbzd_00_1201,"00.1201",True,"一氧化氮疗法","治疗性操作"
nhsa_jbzd_00_1300,"00.1300",True,"奈西立肽注射或输注","治疗性操作"
nhsa_jbzd_00_1301,"00.1301",True,"人类B型钠尿肽（hBNP）输注","治疗性操作"
nhsa_jbzd_00_1400,"00.1400",True,"噁唑烷酮类抗生素注射或输注","治疗性操作"
nhsa_jbzd_00_1400x001,"00.1400x001",True,"注射噁唑烷酮类抗生素","治疗性操作"
nhsa_jbzd_00_1400x002,"00.1400x002",True,"输注噁唑烷酮类抗生素","治疗性操作"
nhsa_jbzd_00_1500,"00.1500",True,"大剂量白细胞介素-2[IL-2]输注","治疗性操作"
nhsa_jbzd_00_1500x001,"00.1500x001",True,"输注白细胞介素","治疗性操作"
nhsa_jbzd_00_1500x002,"00.1500x002",True,"注射阿地白细胞介素","治疗性操作"
