"附件",,,,
"6840 体外诊断试剂分类子目录（2013版）",,,,
,,,,
"序号","产品类别","产品分类名称","预期用途","管理类别"
"001","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","志贺菌属多价诊断血清","临床上用于志贺菌属分群。","Ⅲ"
"002","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","鲍氏志贺菌诊断血清","临床上用于鲍氏志贺菌群分型。","Ⅲ"
"003","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","福氏志贺菌诊断血清","临床上用于福氏志贺菌群分型。","Ⅲ"
"004","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","宋内志贺菌诊断血清","临床上用于宋内志贺菌诊断。","Ⅲ"
"005","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","志贺志贺菌诊断血清","临床上用于志贺志贺菌诊断。","Ⅲ"
"006","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","变形杆菌OX19诊断菌液","临床上用于外斐（Weil－Felix）反应。","Ⅲ"
"007","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","变形杆菌OX2诊断菌液","临床上用于外斐（Weil－Felix）反应。","Ⅲ"
"008","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","变形杆菌OXK诊断菌液","临床上用于外斐（Weil－Felix）反应。","Ⅲ"
"009","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","甲型副伤寒杆菌诊断菌液","临床上用于肥达(Widal)反应。","Ⅲ"
"010","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","乙型副伤寒杆菌诊断菌液","临床上用于肥达(Widal)反应。","Ⅲ"
"011","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","丙型副伤寒杆菌诊断菌液","临床上用于肥达(Widal)反应。","Ⅲ"
"012","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","伤寒杆菌H901诊断菌液","临床上用于肥达(Widal)反应。","Ⅲ"
"013","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","伤寒杆菌O901诊断菌液","临床上用于肥达(Widal)反应。","Ⅲ"
"014","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","肠道致病性大肠埃希菌诊断血清","临床上用于凝集试验诊断肠道致病性大肠埃希菌。","Ⅲ"
"015","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","O1群霍乱弧菌诊断血清","临床上用于诊断O1群霍乱弧菌。","Ⅲ"
"016","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","鼠疫耶尔森菌诊断血清","临床上用于鼠疫耶尔森菌诊断。","Ⅲ"
"017","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","鼠疫耶尔森菌诊断用噬菌体","临床上用于鉴定鼠疫耶尔森菌。","Ⅲ"
"018","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","炭疽杆菌诊断血清","临床上用于鉴定炭疽杆菌。","Ⅲ"
"019","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","炭疽杆菌诊断用噬菌体","临床上用于鉴定炭疽杆菌。","Ⅲ"
"020","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","A群β溶血链球菌抗原检测试剂","用于检测人体样本中的A群β溶血性链球菌抗原，临床上主要用于呼吸道感染病原学的辅助诊断和鉴别诊断。","Ⅲ"
"021","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","A群链球菌多糖抗体检测试剂","用于检测人体样本中的A群链球菌细胞壁多糖抗体（ACHO，ASP），临床上主要用于既往链球菌感染和急性风湿热(ARF)自身免疫反应的辅助诊断。","Ⅲ"
"022","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","B族链球菌核酸检测试剂","用于检测人体样本（如孕妇生殖道分泌物）中的B族链球菌核酸，临床上主要用于链球菌感染的辅助诊断。","Ⅲ"
"023","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","B型流感嗜血杆菌抗原/抗体/核酸检测试剂","用于检测人体样本中的B型流感嗜血杆菌抗原/抗体/核酸，临床上主要用于儿童期细菌性肺炎或脑膜炎等的辅助诊断。","Ⅲ"
"024","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","幽门螺杆菌抗原/抗体/核酸检测试剂","用于检测人体样本中的幽门螺杆菌抗原/抗体/核酸，临床上主要用于胃肠道幽门螺杆菌感染的辅助诊断。","Ⅲ"
"025","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","百日咳杆菌抗原/抗体检测试剂","用于检测人体样本中的百日咳杆菌抗原（如呼吸道分泌物）/抗体，临床上主要用于百日咳的辅助诊断或用于疫苗的免疫效果监测。","Ⅲ"
"026","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","白喉棒状杆菌抗体检测试剂","用于检测人体样本中的白喉棒状杆菌抗体，临床上主要用于白喉的辅助诊断或用于疫苗的免疫效果监测。","Ⅲ"
"027","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","破伤风类毒素抗体检测试剂","用于检测人体样本中的破伤风类毒素抗体，临床上主要用于破伤风疫苗接种效果监测及流行病学调查。","Ⅲ"
"028","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","布氏杆菌抗体检测试剂","用于检测人体样本中的布氏杆菌抗体，临床上主要用于布氏杆菌病的辅助诊断。","Ⅲ"
"029","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","大肠杆菌O157抗原检测试剂","用于检测人体样本（如粪便、呕吐物等）中的大肠杆菌O157：H7抗原，临床上主要用于肠出血性大肠杆菌感染（如出血性结肠炎及溶血性尿毒综合征）等疾病的辅助诊断。","Ⅲ"
"030","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","肺炎链球菌抗原检测试剂","用于检测人体样本（如呼吸道分泌物）中的肺炎链球菌抗原，临床上主要用于肺炎链球菌性肺炎的辅助诊断。","Ⅲ"
"031","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","结核分枝杆菌抗体/核酸检测试剂","用于检测人体样本中的结核杆菌抗体/核酸，临床上主要用于结核的辅助诊断。","Ⅲ"
"032","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","结核感染T细胞释放γ-干扰素检测试剂","用于检测人体样本中由结核分枝杆菌抗原刺激T淋巴细胞所产生的γ-干扰素,临床上主要用于结核的辅助诊断。","Ⅲ"
"033","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","淋球菌抗原/核酸检测试剂","用于检测人体样本（如生殖泌尿道分泌物）中的淋球菌抗原/核酸，临床上主要用于淋球菌感染的辅助诊断。","Ⅲ"
"034","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","炭疽杆菌抗原检测试剂","用于检测人体样本中的炭疽杆菌抗原，临床上主要用于炭疽杆菌的感染的辅助诊断。","Ⅲ"
"035","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","鼻疽菌抗原检测试剂","用于检测人体样本中的鼻疽菌抗原，临床上主要用于鼻疽菌的感染的辅助诊断。","Ⅲ"
"036","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","类鼻疽菌抗原检测试剂","用于检测人体样本中的类鼻疽菌抗原，临床上主要用于类鼻疽菌的感染的辅助诊断。","Ⅲ"
"037","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","布鲁氏菌抗原检测试剂","用于检测人体样本中的布鲁氏菌抗原，临床上主要用于布鲁氏菌感染的辅助诊断。","Ⅲ"
"038","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","鼠疫菌F1抗体检测试剂","用于检测人体样本中的鼠疫菌F1抗体，临床上主要用于人鼠疫菌感染的辅助诊断。","Ⅲ"
"039","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","甲型副伤寒沙门菌抗体检测试剂","用于检测人体样本中的甲型副伤寒沙门菌抗体，临床上主要用于副伤寒的辅助诊断。","Ⅲ"
"040","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","乙型副伤寒菌抗体检测试剂","用于检测人体样本中的乙型副伤寒菌抗体，临床上主要用于乙型副伤寒菌感染的辅助诊断。","Ⅲ"
"041","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","霍乱弧菌抗原检测试剂","用于检测人体样本（如粪便标本）中O1群和O139群霍乱弧菌抗原，临床上主要用于霍乱的辅助诊断。","Ⅲ"
"042","Ⅲ-1 与致病性病原体抗原、抗体以及核酸等检测相关的试剂","嗜肺军团菌抗体检测试剂","用于检测人体样本中的嗜肺军团菌抗体，临床上主要用于军团菌肺炎的辅助诊断。","Ⅲ"
